#	Hand-authored Preferred-tier seed for LFŠ (Letní filmová škola Uherské Hradiště).
#	Every row is attested against local/lfs/txt/** by scripts/curated_dict.py; a row whose
#	evidence regex does not match the corpus fails the build. Evidence is never invented.
#
#	Membership test used for every row (good-crossword skill): would a reader recognise this
#	word as belonging to a FILM FESTIVAL with the clue covered? That is why sál, host, úvod,
#	klub, stan, aula, ceny, noc, program are absent even though they are the highest-salience
#	tokens in the corpus — they are festival *layout*, not festival *vocabulary*.
#
#	score 200 = unmistakably cinema or unmistakably LFŠ; 150 = solidly thematic.
word	kind	category	hook	score	gloss	evidence
film	lemma	film-remeslo	OBOR	200	médium celé akce	
kino	lemma	film-remeslo	OBOR	200	sál i instituce	
kinosál	lemma	film-remeslo	OBOR	200	sál s plátnem	
plátno	lemma	film-remeslo	OBRAZ	200	na čem se promítá	
projekce	lemma	film-remeslo	OBOR	200	jedno promítání	
promítání	lemma	film-remeslo	OBOR	200	činnost promítače	
promítačka	lemma	film-remeslo	OBRAZ	200	stroj v kabině	
projektor	lemma	film-remeslo	OBRAZ	150	svítí na plátno	
titulek	lemma	film-remeslo	OBOR	200	řádek pod obrazem	titulk
mezititulek	lemma	film-remeslo	OBOR	150	text v němém filmu	mezititulk
dabing	lemma	film-remeslo	OBOR	200	český hlas cizího herce	
kamera	lemma	film-remeslo	OBOR	200	snímá obraz	
kameraman	lemma	film-remeslo	OBOR	200	člověk za kamerou	
scénář	lemma	film-remeslo	OBOR	200	film na papíře	
scenárista	lemma	film-remeslo	OBOR	200	autor scénáře	
režie	lemma	film-remeslo	OBOR	200	kdo film vede	
režisér	lemma	film-remeslo	OBOR	200	šéf natáčení	
režisérka	lemma	film-remeslo	OBOR	200	šéfka natáčení	
herec	lemma	film-remeslo	OBOR	200	je vidět na plátně	
herečka	lemma	film-remeslo	OBOR	200	je vidět na plátně	
střih	lemma	film-remeslo	OBOR	200	spoj dvou záběrů	
záběr	lemma	film-remeslo	OBOR	200	kus filmu bez střihu	
snímek	lemma	film-remeslo	OBOR	200	jiné slovo pro film	
premiéra	lemma	film-remeslo	OBOR	200	poprvé před diváky	
distribuce	lemma	film-remeslo	OBOR	150	cesta filmu do kin	
natáčení	lemma	film-remeslo	OBOR	200	práce před kamerou	
klapka	lemma	film-remeslo	OBRAZ	200	cvakne před záběrem	
komparz	lemma	film-remeslo	OBOR	150	dav v pozadí	
kostým	lemma	film-remeslo	OBRAZ	150	co má herec na sobě	
rekvizita	lemma	film-remeslo	OBRAZ	150	předmět ve scéně	rekvizit
kinematografie	lemma	film-remeslo	OBOR	200	souhrn filmové tvorby	
filmař	lemma	film-remeslo	OBOR	200	kdo dělá filmy	
divák	lemma	film-remeslo	OBOR	200	sedí v sále	
publikum	lemma	film-remeslo	OBOR	150	všichni diváci naráz	
scéna	lemma	film-remeslo	OBOR	150	jeden výjev	
epizoda	lemma	film-remeslo	OBOR	150	díl seriálu	
